created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sat Dec 24 00:05:01 +0000 2022,1.6064407726766E+018,Ten lucky #winners who participated in the Bank Islam Brunei Darussalam (#BIBD) credit card promotion received their #prize presentation ceremony held at the #McDonaldâ€™s #Brunei Lambak branch. #borneobulletin https://t.co/Z9piZ6FZnq,0,0,0,0,en,9.96558062314901E+017,1.6064407726766E+018,borneo_bulletin,https://twitter.com/borneo_bulletin/status/1606440772676603905
Wed Nov 30 00:01:01 +0000 2022,1.59774245989906E+018,The Balai Khazanah Islam Sultan Haji Hassanal Bolkiah (BKISHHB) under the PMO in collaboration with Astronomical Society of Brunei Darussalam (PABD) will organise a #stargazing activity for the December school holidays. #borneobulletin #brunei #local https://t.co/sFD6lqL98e,0,0,0,0,en,9.96558062314901E+017,1.59774245989906E+018,borneo_bulletin,https://twitter.com/borneo_bulletin/status/1597742459899068417
Sat Nov 12 00:10:01 +0000 2022,1.59122174084738E+018,"Bank Islam Brunei Darussalam (BIBD) recently completed eight sessions of financial planning, entrepreneurship and digital banking talks in the Temburong District. #borneobulletin #brunei #local https://t.co/0XzgaE5rF0",0,0,0,0,en,9.96558062314901E+017,1.59122174084738E+018,borneo_bulletin,https://twitter.com/borneo_bulletin/status/1591221740847382529
Fri Oct 28 02:35:59 +0000 2022,1.58582265956442E+018,"@FamiOx @IniAlalalannn bkn senang nk jadi pemimpin yg adil &amp  berlandaskan undang2 Islam sebenarðŸ˜“ especially when we ARE NOT an ISLAMIC country, we only have the MAJORITY of Muslim in Malaysia..sbb we are not like BRUNEI DARUSSALAM, as long we are UNITY as 1ðŸ¤ŸðŸ¾",0,0,1,10,in,1.36731792874023E+018,1.58559924510067E+018,AnnaHaniss,https://twitter.com/AnnaHaniss/status/1585822659564425216
Mon Oct 24 10:52:19 +0000 2022,1.5844980118369E+018,"@RitzyB94 @waseem_Speak @ashoswai do you think in that era india not lead by king ??. islam not push any form government.why do you need democracy if it is led by a king, the citizens are prosperous like brunei darussalam.",0,1,0,0,en,2415364742,1.58408105959908E+018,sabardjatmiko,https://twitter.com/sabardjatmiko/status/1584498011836907522
Thu Aug 18 14:47:46 +0000 2022,1.56027727870547E+018,"@BuffetKh0r The most peaceful way Islam is practiced, I've witnessed, is in Malaysia &amp  Brunei Darussalam. Also heard about some of the African countries which are safe from conflict. Malay ethnicity reside in Malaysia &amp  Brunei. Never seen any clashes with Chinese, Indians or any foreigners.",0,1,0,0,en,231357220,1.56027604639798E+018,WaqasMahmoodAli,https://twitter.com/WaqasMahmoodAli/status/1560277278705471488
Thu Aug 18 14:46:57 +0000 2022,1.56027707291614E+018,"The most peaceful way Islam is practiced, I've witnessed, is in Malaysia &amp  Brunei Darussalam. Also heard about some of the African countries which are safe from conflict. Malay ethnicity reside in Malaysia &amp  Brunei. Never seen any clashes with Chinese, Indians or any foreigners.",0,0,0,2,en,231357220,1.56027707291614E+018,WaqasMahmoodAli,https://twitter.com/WaqasMahmoodAli/status/1560277072916140033
Sun Jun 12 11:29:14 +0000 2022,1.53594732752066E+018,@achehsultanate Negara yang memakai syariah Islam in sya Allah akan menjadi negara yang kaya raya toto tenteram kerto Raharjo seperti Arab Saudi dan Brunei Darussalam in sya Allah.,0,1,0,1,in,1.11670783502116E+018,1.53557543993826E+018,HeriSahaja1,https://twitter.com/HeriSahaja1/status/1535947327520665601
Thu May 26 03:21:12 +0000 2022,1.52966391989932E+018,"#åƒé¥­#Brunei Darussalam is located on the North Bank of Borneo in Southeast Asia. Together with Sarawak and Sabah in Malaysia, it is known as the three states of Beipo. It is an autocratic monarchy. The state religion is Islam, and the capital is sribagawan. https://t.co/12r8yaOMLa",0,0,0,0,en,1.51980226087169E+018,1.52966391989932E+018,liuwei82643054,https://twitter.com/liuwei82643054/status/1529663919899324416
Tue Mar 29 12:30:51 +0000 2022,1.50878374725203E+018,"Highlights of speech of Dr. Khairudin Aljunied, Professor of Southeast Asian Islamic and Intellectual History at University of Brunei Darussalam, during the virtual lecture: A Misunderstood Civilization: Rethinking the Study of Islam in Southeast Asia"".  #MuslimCommunities https://t.co/7WcILQ3wFX""",0,0,2,2,en,1.04494697226276E+018,1.50878374182035E+018,WMuslimCC,https://twitter.com/WMuslimCC/status/1508783747252035588
