created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sun Dec 04 04:10:45 +0000 2022,1.59925485828849E+018,New @AsianJofLS article â€” Beyond the Sharia State: Public Celebrations and Everyday State-Making in the Malay Islamic Monarchy of Brunei Darussalam https://t.co/ksnqltkawT,0,0,0,1,en,1.01287400748866E+018,1.59925485828849E+018,AsianJofLS,https://twitter.com/AsianJofLS/status/1599254858288496640
Thu Dec 01 03:04:12 +0000 2022,1.59815094480994E+018,"A 2-day training on The Fundamental of Financial Accounting &amp  Reporting conducted recently by our SME, Prof Zulkarnain (Associate Dean), at the training centre of Brunei Institute of Leadership in Islamic Finance, Brunei Darussalam organised by ISRA Consulting.  #inceifuniversity https://t.co/pGPzkTU0Sc",0,0,1,5,en,340198657,1.59815094480994E+018,INCEIF,https://twitter.com/INCEIF/status/1598150944809947137
Thu Nov 17 00:09:00 +0000 2022,1.59303342608012E+018,Brunei Darussalam was rank 12th in the top Islamic Finance Development Indicator (IFDI) Markets in 2020. #borneobulletin #brunei #local #banks https://t.co/Rq4ISeff9m,0,0,0,0,en,9.96558062314901E+017,1.59303342608012E+018,borneo_bulletin,https://twitter.com/borneo_bulletin/status/1593033426080124929
Mon Nov 14 00:13:27 +0000 2022,1.59194738175864E+018,The Islamic Studies Department marked the 66th anniversary of the implementation of formal religious education in Brunei Darussalam with a walkathon during the ... Read more here #borneobulletin #brunei #local https://t.co/tkwizhRpas,0,0,0,0,en,9.96558062314901E+017,1.59194738175864E+018,borneo_bulletin,https://twitter.com/borneo_bulletin/status/1591947381758648323
Fri Oct 28 02:35:59 +0000 2022,1.58582265956442E+018,"@FamiOx @IniAlalalannn bkn senang nk jadi pemimpin yg adil &amp  berlandaskan undang2 Islam sebenarðŸ˜“ especially when we ARE NOT an ISLAMIC country, we only have the MAJORITY of Muslim in Malaysia..sbb we are not like BRUNEI DARUSSALAM, as long we are UNITY as 1ðŸ¤ŸðŸ¾",0,0,1,10,in,1.36731792874023E+018,1.58559924510067E+018,AnnaHaniss,https://twitter.com/AnnaHaniss/status/1585822659564425216
Fri Oct 14 12:56:37 +0000 2022,1.58090541570104E+018,"Pehin Mufti, Abdul Aziz Juneid from Brunei Darussalam delivered an online speech at the 36th International Islamic Unity Conference in Tehran. https://t.co/sJU3rsBdJB",0,0,1,2,en,1.04441131668792E+018,1.58090541570104E+018,IRANinBRUNEI,https://twitter.com/IRANinBRUNEI/status/1580905415701049344
Sun Jul 10 13:27:27 +0000 2022,1.54612394119793E+018,"On the occasion of Eid al-Adha, the Embassy of Morocco in Malaysia and Brunei Darussalam extends its warmest congratulations to all members of the Moroccan community and the Islamic nation, wishing good health and happiness. https://t.co/fltloMva6h https://t.co/rlVUzRyVDv",0,0,0,0,en,1.49137268036843E+018,1.54612394119793E+018,MoroccoinMYS,https://twitter.com/MoroccoinMYS/status/1546123941197930496
Sat Jun 04 14:41:21 +0000 2022,1.53309657582785E+018,"@rajbatam @Wonderthatslife @jsaideepak Actually not all his dakwah contains suicidal, terrors or radicalism. Some of his preaching is about Islamic views on personal, family, and daily problems.   He might be rejected in Singapore, but he is very respected in Malaysia and Brunei Darussalam.",0,2,0,0,en,1.00628281970064E+018,1.53303381136926E+018,JualPertalite,https://twitter.com/JualPertalite/status/1533096575827857411
Wed Jun 01 08:26:52 +0000 2022,1.53191516773849E+018,"Don't miss the Shariah Advisory Conference held tomorrow by the Central Bank of Bruneiâ€™s BILIF, in partnership with the BIBF! BIBF Head of Islamic Finance Centre, Mr. Mujtaba Khalid will be speaking at the conference held under the patronage of Brunei Darussalam Central Bank. https://t.co/gkAaaHFkEC",0,0,0,0,en,2613079051,1.53191516773849E+018,TheBIBF,https://twitter.com/TheBIBF/status/1531915167738494976
Sun May 01 09:55:32 +0000 2022,1.52070346063072E+018,"In a video call between @Amirabdolahian &amp  Dato Erywan,the Minister of ForeignÂ AffairsII of Brunei Darussalam,they congratulated Eid al-Fitr and talked about bilateral relations. During VC, the need for unity among the Islamic countries in the battle against extremism was stressed https://t.co/L8pUybTugy",1,0,0,5,en,1.04441131668792E+018,1.52070346063072E+018,IRANinBRUNEI,https://twitter.com/IRANinBRUNEI/status/1520703460630724608
