created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Thu Dec 01 14:21:26 +0000 2022,1.59832137906938E+018,"@sambalterasee @MARQUEZ__93 Hukum apa yg di tegakkan oleh Khulafaur Rasyidin,,?? Syariat Islam,, Negara Arab Saudi,, sistem kerajaan,,menerapkan syariat Islam,, Negara Brunei, Darussalam, monarki ,kerajaan, menerapkan syariat,, Provinsi Aceh,, pemerintah daerah juga menerapkan syariat,,,",0,0,0,0,in,1.49697670525238E+018,1.59738662038235E+018,GondesEnergy,https://twitter.com/GondesEnergy/status/1598321379069382657
Sat Nov 19 00:23:37 +0000 2022,1.59376187928936E+018,"@Jupiterz2008 @Tan_Mar3M Apakah di Malaysia dan Brunei Darussalam hanya ada satu etnis dan satu agama? Tidak, mereka juga beragam meskipun tidak sebanyak Indonesia. Nyatanya umat agama lain di sana tidak ada masalah dengan syariat Islam.",0,1,0,0,in,1.55678206200659E+018,1.59357800934449E+018,pranowo_yudha,https://twitter.com/pranowo_yudha/status/1593761879289364480
Thu Nov 10 17:28:39 +0000 2022,1.59075834586218E+018,"https://t.co/o7tORq9HNM  Brunei Darussalam adalah satunya negara di Asia Tenggara yg menerapkan sistem syariat Islam secara penuh, meski dikecam dunia Internasional (terutama oleh komisaris tinggi PBB urusan HAM) Fakta ! mrk negeri yg baldatun tayyibatun warabbun Ghafur !""",1,0,0,7,in,3580227492,1.59075834586218E+018,YandraD31,https://twitter.com/YandraD31/status/1590758345862180864
Sat Sep 24 10:22:22 +0000 2022,1.57361883948444E+018,"@izdhaarul Akidah siapa?, Syariat agama apa?, Mau diberlakukan di negara apa?.  Kalau di Brunei Darussalam atau kesultanan Islam sih boleh. Lah kalau dasar negaranya aja udh sekuler lu masih maksa hukum Islam berarti ijtihad lu kurang klop.",0,1,0,1,in,1641098353,1.57321893166569E+018,Setiabudi666,https://twitter.com/Setiabudi666/status/1573618839484440576
Sun May 01 06:59:27 +0000 2022,1.52065914475973E+018,"@pengarang_sajak Negara yang menerapkan Syariat Islam Rakyatnya makmur Seperti Qatar, Bahrain, UAE, Saudi Arabia, Kuwait, Brunei Darussalam Aceh dulu Provinsi paling Miskin di Indonesia sekarang Provinsi paling miskin di Indonesia itu Provinsi di Indonesia Timur",0,1,0,0,in,1.50578323182808E+018,1.52056650546475E+018,Gejolaksangee,https://twitter.com/Gejolaksangee/status/1520659144759738368
Thu Apr 07 15:19:33 +0000 2022,1.51208769191499E+018,"@Ek4_Puspita @SuhartiniTaurus Gk dungu bkn cebong...!!!ðŸ¤£ðŸ¤£ðŸ¤£ Santai bong w gk sebodoh pikiranmu yg mngatakan Brunei Darussalam adlh negara dgn sistem khilafah,paling tidak lu tau contoh kcil jk syariat ISLAM di jalankn.",0,1,0,0,in,1022641296,1.51134220423683E+018,victory99x,https://twitter.com/victory99x/status/1512087691914997762
Sun Oct 24 10:51:27 +0000 2021,1.45222622435341E+018,"Tapi tidak semua negara mayoritas Islam dan negara Islam setuju dengan adanya kebebasan di Arab Saudi saat ini.salah satu yang tidak setuju adalah Brunei Darussalam, negara tersebut memandang Arab Saudi telah melenceng jauh dari syariat Islam yang memang menjadi dasar hukum Islam",0,0,1,1,in,9.80097559736721E+017,1.45222622435341E+018,AlbertSolo2,https://twitter.com/AlbertSolo2/status/1452226224353419269
Mon Sep 13 03:48:33 +0000 2021,1.43726189606372E+018,@cloudvanguard1 @republikaonline 3. Iran menerapkan syariat Islam Syiah Ja'fariyyah  4. Brunei Darussalam menerapkan syariat Islam Mazhab Syafii (Mazhab yang dipakai oleh NU dan ormas Islam lain di Indonesia),0,1,0,1,in,1.37317490467832E+018,1.43724039502537E+018,ANGGRAINISEPT14,https://twitter.com/ANGGRAINISEPT14/status/1437261896063729669
Sun Sep 12 01:53:27 +0000 2021,1.43687054149583E+018,"Beberapa negara yang memberlakukan hukum syariat Islam sebagai hukum nasional yang berlaku di negara tersebut, adalah Arab Saudi,Uni emirat Arab, Qatar, Iran,Mesir,Libia dan negara tetangga kita Brunei Darussalam.namun ada kabar baiknya,ada beberapa yang sudah mulai sekuler.",0,0,1,1,in,9.80097559736721E+017,1.43687054149583E+018,AlbertSolo2,https://twitter.com/AlbertSolo2/status/1436870541495836679
Wed Jun 16 22:32:16 +0000 2021,1.40529216894042E+018,"@OposisiCerdas Solusinya negara harus menegakka syariat Islam ,lihatlah negara tetangga Brunai Darussalam mereka hidup nyaman tentram dan sejahtera ,pernahkah kita dengar ada bencana di negara Brunei Darussalam ,semoga para elit politik di beri hidayah oleh Allah SWT aamiin Allahumma aamiin",0,0,0,0,in,1.31506688190086E+018,1.40466157175056E+018,Sapriad19222413,https://twitter.com/Sapriad19222413/status/1405292168940429316
